starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 17 09:32:31 2018	1537169551	835	866	1700	865
Mon Sep 17 09:32:34 2018	1537169554	788	913	1700	912
Mon Sep 17 09:34:49 2018	1537169689	1447	254	1701	252
Mon Sep 17 09:35:44 2018	1537169744	1056	646	1701	637
Mon Sep 17 09:32:31 2018	1537169551	835	867	1701	865
Mon Sep 17 09:32:24 2018	1537169544	1580	121	1701	121
Mon Sep 17 09:32:31 2018	1537169551	822	880	1702	879
Mon Sep 17 09:32:31 2018	1537169551	802	900	1702	899
Mon Sep 17 09:34:49 2018	1537169689	1424	278	1702	276
Mon Sep 17 09:32:53 2018	1537169573	634	1068	1702	1042
Mon Sep 17 09:32:32 2018	1537169552	1515	187	1702	187
Mon Sep 17 09:32:49 2018	1537169569	995	707	1702	698
Mon Sep 17 09:36:04 2018	1537169764	978	724	1702	724
Mon Sep 17 09:32:32 2018	1537169552	1477	226	1703	225
Mon Sep 17 09:32:32 2018	1537169552	1472	230	1703	230
Mon Sep 17 09:32:57 2018	1537169577	1519	183	1703	183
Mon Sep 17 09:32:32 2018	1537169552	1490	212	1703	212
Mon Sep 17 09:32:31 2018	1537169551	1472	230	1703	230
Mon Sep 17 09:34:49 2018	1537169689	1382	321	1703	319
Mon Sep 17 09:35:29 2018	1537169729	1124	579	1703	577
Mon Sep 17 09:34:27 2018	1537169667	1601	102	1703	69
Mon Sep 17 09:32:32 2018	1537169552	1476	227	1704	227
Mon Sep 17 09:35:29 2018	1537169729	1124	580	1704	578
Mon Sep 17 09:35:29 2018	1537169729	1113	591	1704	590
Mon Sep 17 09:35:29 2018	1537169729	1124	580	1704	578
Mon Sep 17 09:35:29 2018	1537169729	1112	592	1704	590
